sr_no,dump_ref_no,request_ref_no,court_order_ref,tower_id,lac,cell_id,tower_address,tower_lat,tower_lon,tower_district,tower_state,tower_operator,tower_type,tower_azimuth,tower_height_m,tower_coverage_radius_m,tower_tech,dump_start_datetime,dump_end_datetime,dump_window_hours,msisdn,imsi,imei,sim_serial_no,subscriber_name,kyc_doc_type,kyc_doc_no,kyc_status,subscriber_dob,subscriber_gender,subscriber_address,operator,circle,plan_type,activation_date,sim_status,handset_make,handset_model,handset_type,event_type,event_datetime,event_date,event_time,event_duration_sec,calling_party,called_party,first_activity_datetime,last_activity_datetime,total_events_in_window,total_calls,total_sms,total_data_sessions,uplink_bytes_window,downlink_bytes_window,signal_strength_dbm,timing_advance_distance_m,rat_type,location_update_type,prev_tower_id,prev_tower_address,prev_event_datetime,next_tower_id,next_tower_address,next_event_datetime,co_location_flag,co_location_note,data_requested_by,data_request_date,telecom_response_date,remarks
11,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0011,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100017,40420101000017000,350000003000017,8991100001017001,Person_17,VoterID,018584528518,GENUINE,1994-01-22,F,"Address 17, Delhi",BSNL,Delhi,Prepaid,2019-11-06,Active,Samsung,Note 12,Smartphone,SMS,2024-03-15 08:45:00,2024-03-15,08:45:00,348,,,2024-03-15 07:37:00,2024-03-15 08:58:00,4,2,1,1,0,0,-65,308,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
12,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0012,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100035,40420101000035000,350000003000035,8991100001035001,Person_35,VoterID,619182093576,GENUINE,1995-03-20,M,"Address 35, Delhi",Jio,Delhi,Prepaid,2021-09-15,Active,Oppo,Y33s,Smartphone,VOICE_CALL,2024-03-15 08:18:00,2024-03-15,08:18:00,374,9811100035,9811751004,2024-03-15 07:38:00,2024-03-15 09:00:00,4,4,2,2,0,0,-61,71,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
13,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0013,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100009,40420101000009000,350000003000009,8991100001009001,Person_09,DL,416104776583,GENUINE,1999-12-18,M,"Address 9, Delhi",Vi,Delhi,Prepaid,2021-04-03,Active,OnePlus,Reno 6,Smartphone,VOICE_CALL,2024-03-15 08:24:00,2024-03-15,08:24:00,559,9811100009,9811807246,2024-03-15 07:33:00,2024-03-15 08:59:00,8,7,3,0,0,0,-83,280,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
14,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0014,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100036,40420101000036000,350000003000036,8991100001036001,Person_36,Aadhaar,734803573180,GENUINE,1992-01-07,F,"Address 36, Delhi",BSNL,Delhi,Prepaid,2018-02-03,Active,Redmi,Galaxy A14,Smartphone,LOCATION_UPDATE,2024-03-15 08:01:00,2024-03-15,08:01:00,560,,,2024-03-15 07:32:00,2024-03-15 08:58:00,4,3,1,2,0,0,-73,763,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
15,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0015,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100033,40420101000033000,350000003000033,8991100001033001,Person_33,DL,315653302848,GENUINE,1996-03-27,M,"Address 33, Delhi",Vi,Delhi,Prepaid,2020-04-13,Active,Oppo,Y33s,Smartphone,VOICE_CALL,2024-03-15 08:44:00,2024-03-15,08:44:00,505,9811100033,9811891267,2024-03-15 07:33:00,2024-03-15 08:54:00,7,7,5,0,0,0,-95,372,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
16,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0016,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100026,40420101000026000,350000003000026,8991100001026001,Person_26,DL,113362363512,GENUINE,1990-12-02,M,"Address 26, Delhi",BSNL,Delhi,Prepaid,2021-04-24,Active,Oppo,Y33s,Smartphone,DATA_SESSION,2024-03-15 08:11:00,2024-03-15,08:11:00,214,,,2024-03-15 07:33:00,2024-03-15 08:53:00,5,4,2,2,191054,256073,-70,742,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
17,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0017,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100021,40420101000021000,350000003000021,8991100001021001,Person_21,VoterID,801030738770,GENUINE,1993-12-02,M,"Address 21, Delhi",Jio,Delhi,Prepaid,2023-07-06,Active,Redmi,Nord CE 2,Smartphone,VOICE_CALL,2024-03-15 07:50:00,2024-03-15,07:50:00,43,9811100021,9811963785,2024-03-15 07:39:00,2024-03-15 08:52:00,1,1,0,1,0,0,-93,96,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
18,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0018,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100016,40420101000016000,350000003000016,8991100001016001,Person_16,VoterID,833896729582,GENUINE,1998-09-10,M,"Address 16, Delhi",Airtel,Delhi,Prepaid,2022-10-12,Active,Redmi,Note 12,Smartphone,DATA_SESSION,2024-03-15 07:53:00,2024-03-15,07:53:00,175,,,2024-03-15 07:36:00,2024-03-15 08:55:00,1,1,0,2,482699,1329106,-65,632,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
19,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0019,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100027,40420101000027000,350000003000027,8991100001027001,Person_27,VoterID,802869654292,GENUINE,1997-10-12,M,"Address 27, Delhi",BSNL,Delhi,Prepaid,2021-08-06,Active,Vivo,GT Neo 3T,Smartphone,VOICE_CALL,2024-03-15 08:45:00,2024-03-15,08:45:00,420,9811100027,9811311497,2024-03-15 07:39:00,2024-03-15 08:59:00,8,3,1,0,0,0,-65,388,4G-LTE,NORMAL,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
20,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0020,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811100038,40420101000038000,350000003000038,8991100001038001,Person_38,VoterID,244903308853,GENUINE,1999-08-04,F,"Address 38, Delhi",BSNL,Delhi,Prepaid,2023-04-04,Active,Samsung,Note 12,Smartphone,VOICE_CALL,2024-03-15 08:30:00,2024-03-15,08:30:00,527,9811100038,9811573783,2024-03-15 07:39:00,2024-03-15 08:51:00,3,1,0,1,0,0,-81,281,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
21,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0021,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9910456781,404201111222333,350123456789012,8991101111222333001,Arjun Mehta,Aadhaar,1XXX XXXX 5678,GENUINE,2001-03-12,M,"C-47, Ashok Nagar, Delhi – 110018",Airtel,Delhi,Postpaid,2022-06-15,Active (SILENT POST 08:22 Mar 15),Apple,iPhone 14,Smartphone,VOICE_CALL,2024-03-15 07:49:00,2024-03-15,07:49:00,675,9910456781,9654012387,2024-03-15 07:32:00,2024-03-15 09:00:00,5,3,2,1,300000,1800000,-83,441,4G-LTE,PERIODIC,,,,,,,Y,"CO-LOCATION with ['9811045723', '9711234560']","SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
22,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0022,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9811045723,404201234567890,356789012345678,8991101234567890123,Rakesh Kumar,Aadhaar,4XXX XXXX 1234,FAKE,1988-07-14,M,"H.No 44, Gali 3, Uttam Nagar, Delhi – 110059",Airtel,Delhi,Prepaid,2024-01-10,Active,Samsung,Galaxy A54,Smartphone,VOICE_CALL,2024-03-15 08:44:00,2024-03-15,08:44:00,900,9811045723,9654012387,2024-03-15 07:34:00,2024-03-15 08:59:00,8,1,5,1,300000,1800000,-81,711,4G-LTE,NORMAL,,,,,,,Y,"CO-LOCATION with ['9910456781', '9711234560']","SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
23,DUMP-DL-AIR-001-202403150730,REQ-CMM/NW/2024/0312-D0023,CMM/NW/2024/0312,DL-AIR-001,10201,30101,"Rajouri Garden Metro Station, Delhi",28.647,77.1025,West Delhi,Delhi,Airtel,Macro-BTS,Omni,35,800,2G/3G/4G,2024-03-15 07:30:00,2024-03-15 09:00:00,1.5,9711234560,404202222333444,354567890123456,8991202222333444001,Ramesh Prasad,Aadhaar,6XXX XXXX 7890,GENUINE,1992-04-18,M,"Jhuggi Cluster, R-Block, Uttam Nagar, Delhi – 110059",Jio,Delhi,Prepaid,2023-08-11,Active,Vivo,Y75,Smartphone,VOICE_CALL,2024-03-15 08:12:00,2024-03-15,08:12:00,31,9711234560,9654012387,2024-03-15 07:30:00,2024-03-15 08:58:00,7,5,0,1,300000,1800000,-62,495,4G-LTE,PERIODIC,,,,,,,Y,"CO-LOCATION with ['9910456781', '9811045723']","SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,CRITICAL: Victim + Suspect Primary + Driver co-located at kidnapping window
24,DUMP-DL-JIO-001-202403150735,REQ-CMM/NW/2024/0312-D0024,CMM/NW/2024/0312,DL-JIO-001,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,Jio,Small-Cell,Omni,28,700,4G/5G,2024-03-15 07:35:00,2024-03-15 09:05:00,1.5,9811100024,40420101000024000,350000003000024,8991100001024001,Person_24,DL,028344565624,GENUINE,1995-03-01,M,"Address 24, Delhi",BSNL,Delhi,Prepaid,2021-05-24,Active,Vivo,GT Neo 3T,Smartphone,ATTACH,2024-03-15 08:11:00,2024-03-15,08:11:00,114,,,2024-03-15 07:36:00,2024-03-15 08:56:00,7,5,0,1,0,0,-63,150,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,Burner SIM active at kidnapping origin area
25,DUMP-DL-JIO-001-202403150735,REQ-CMM/NW/2024/0312-D0025,CMM/NW/2024/0312,DL-JIO-001,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,Jio,Small-Cell,Omni,28,700,4G/5G,2024-03-15 07:35:00,2024-03-15 09:05:00,1.5,9811100015,40420101000015000,350000003000015,8991100001015001,Person_15,DL,319150346580,GENUINE,1997-11-09,F,"Address 15, Delhi",Vi,Delhi,Prepaid,2019-06-05,Active,Samsung,GT Neo 3T,Smartphone,SMS,2024-03-15 08:03:00,2024-03-15,08:03:00,173,,,2024-03-15 07:40:00,2024-03-15 08:55:00,2,2,0,1,0,0,-91,268,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,Burner SIM active at kidnapping origin area
26,DUMP-DL-JIO-001-202403150735,REQ-CMM/NW/2024/0312-D0026,CMM/NW/2024/0312,DL-JIO-001,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,Jio,Small-Cell,Omni,28,700,4G/5G,2024-03-15 07:35:00,2024-03-15 09:05:00,1.5,9811100005,40420101000005000,350000003000005,8991100001005001,Person_05,VoterID,310060530424,GENUINE,1994-01-19,F,"Address 5, Delhi",Jio,Delhi,Prepaid,2023-06-04,Active,Redmi,Reno 6,Smartphone,DATA_SESSION,2024-03-15 08:37:00,2024-03-15,08:37:00,206,,,2024-03-15 07:43:00,2024-03-15 08:56:00,5,4,0,2,336790,1490881,-95,215,4G-LTE,ATTACH,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,Burner SIM active at kidnapping origin area
27,DUMP-DL-JIO-001-202403150735,REQ-CMM/NW/2024/0312-D0027,CMM/NW/2024/0312,DL-JIO-001,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,Jio,Small-Cell,Omni,28,700,4G/5G,2024-03-15 07:35:00,2024-03-15 09:05:00,1.5,9811100023,40420101000023000,350000003000023,8991100001023001,Person_23,VoterID,836428471664,GENUINE,1999-05-16,M,"Address 23, Delhi",Jio,Delhi,Prepaid,2018-12-09,Active,Redmi,Note 12,Smartphone,SMS,2024-03-15 07:40:00,2024-03-15,07:40:00,83,,,2024-03-15 07:40:00,2024-03-15 08:57:00,8,4,4,2,0,0,-71,770,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,Burner SIM active at kidnapping origin area
28,DUMP-DL-JIO-001-202403150735,REQ-CMM/NW/2024/0312-D0028,CMM/NW/2024/0312,DL-JIO-001,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,Jio,Small-Cell,Omni,28,700,4G/5G,2024-03-15 07:35:00,2024-03-15 09:05:00,1.5,9811100011,40420101000011000,350000003000011,8991100001011001,Person_11,Aadhaar,064224261426,GENUINE,1996-11-04,M,"Address 11, Delhi",Vi,Delhi,Prepaid,2022-05-09,Active,Realme,Note 12,Smartphone,LOCATION_UPDATE,2024-03-15 07:57:00,2024-03-15,07:57:00,217,,,2024-03-15 07:44:00,2024-03-15 09:00:00,5,4,0,0,0,0,-58,98,4G-LTE,PERIODIC,,,,,,,N,,"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,2024-03-17,Burner SIM active at kidnapping origin area
