sr_no,request_ref_no,operator,circle_id,data_type,msisdn,imsi,imei,sim_serial_no,session_start_date,session_start_time,session_start_datetime,session_end_date,session_end_time,session_end_datetime,session_duration_sec,session_duration_hhmmss,uplink_bytes,downlink_bytes,total_bytes,uplink_kb,downlink_kb,apn,ip_version,ip_assigned_ue,ip_assigned_nat,ip_assigned_public,src_port_ue,dst_ip,dst_port,protocol,l7_protocol,url_domain,url_full,app_name,app_category,content_type,encryption_flag,vpn_detected,tor_detected,proxy_detected,serving_lac,serving_ci,serving_bts_address,serving_bts_lat,serving_bts_lon,serving_bts_district,serving_bts_state,rat_type,band_mhz,rsrp_dbm,sinr_db,first_cgi,last_cgi,mme_id,pgw_id,sgw_id,pcrf_id,ocs_id,teid_uplink,teid_downlink,bearer_id,qci_class,roaming_flag,roaming_network,charging_id,subscriber_name,kyc_type,kyc_status,plan_type,handset_make,handset_model,handset_ua,data_requested_by,data_request_date,court_order_ref,telecom_response_date,remarks
13,REQ-CMM/NW/2024/0312-I0013,Jio,Delhi,IPDR,7011238456,404202345678901,357890123456789,8991202345678901234,2024-03-15,08:05:00,2024-03-15 08:05:00,2024-03-15,08:15:00,2024-03-15 08:15:00,600,00:10:00,94000,512000,606000,91.8,500.0,jionet,IPv4,10.60.105.221,203.144.169.103,203.144.169.103,42876,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,4G-LTE,1800,-76,9,20301-50101,20301-50101,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x19572,0x352bc,BID-000013,QCI-9,N,,,Suresh Yadav,DL,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
14,REQ-CMM/NW/2024/0312-I0014,Jio,Delhi,IPDR,9711234560,404202222333444,354567890123456,8991202222333444001,2024-03-15,08:08:00,2024-03-15 08:08:00,2024-03-15,08:14:40,2024-03-15 08:14:40,400,00:06:40,45000,210000,255000,43.95,205.08,jionet,IPv4,10.1.134.80,203.186.251.192,203.186.251.192,61437,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,20301,50101,"Rajouri Garden Main Road, Delhi",28.648,77.103,West Delhi,Delhi,4G-LTE,1800,-82,9,20301-50101,20301-50101,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x43421,0x9b427,BID-000014,QCI-9,N,,,Ramesh Prasad,Aadhaar,GENUINE,Prepaid,Vivo,Y75,Mozilla/5.0 (Linux; Android 13; V2254A),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
15,REQ-CMM/NW/2024/0312-I0015,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-15,08:48:00,2024-03-15 08:48:00,2024-03-15,08:58:00,2024-03-15 08:58:00,600,00:10:00,67000,380000,447000,65.43,371.09,airtelgprs.com,IPv4,10.68.192.218,203.194.107.120,203.194.107.120,51024,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,10201,30102,"Tagore Garden Extension, Delhi",28.6538,77.098,West Delhi,Delhi,4G-LTE,1800,-71,23,10201-30102,10201-30102,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0xa7de9,0xa05ba,BID-000015,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
16,REQ-CMM/NW/2024/0312-I0016,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-15,09:08:00,2024-03-15 09:08:00,2024-03-15,09:21:20,2024-03-15 09:21:20,800,00:13:20,89000,490000,579000,86.91,478.52,airtelgprs.com,IPv4,10.213.196.156,203.198.74.52,203.198.74.52,16891,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,10202,30201,"Dwarka Sector 10 Main Market, Delhi",28.6311,77.0836,South West Delhi,Delhi,4G-LTE,1800,-91,5,10202-30201,10202-30201,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0xd5a87,0x1db13,BID-000016,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
17,REQ-CMM/NW/2024/0312-I0017,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-15,09:30:00,2024-03-15 09:30:00,2024-03-15,10:10:00,2024-03-15 10:10:00,2400,00:40:00,312000,1840000,2152000,304.69,1796.88,airtelgprs.com,IPv4,10.149.9.247,203.107.107.77,203.107.107.77,51051,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40501,70101,"Gurugram Sector 14 Huda Market, Haryana",28.4595,77.0266,Gurugram,Haryana,4G-LTE,1800,-65,21,40501-70101,40501-70101,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0x76efa,0xa7108,BID-000017,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
18,REQ-CMM/NW/2024/0312-I0018,Vi,Haryana,IPDR,9654012387,404451234567002,352012345678901,8991451234567002002,2024-03-15,09:32:00,2024-03-15 09:32:00,2024-03-15,10:02:00,2024-03-15 10:02:00,1800,00:30:00,245000,1340000,1585000,239.26,1308.59,internet,IPv4,10.148.76.50,203.196.26.254,203.196.26.254,36112,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40501,70101,"Gurugram Sector 14 Huda Market, Haryana",28.4595,77.0266,Gurugram,Haryana,4G-LTE,1800,-60,8,40501-70101,40501-70101,MME-VI-DL-01,PGW-VI-DL-01,SGW-VI-DL-03,PCRF-VI-01,OCS-VI-01,0xe394a,0x7d728,BID-000018,QCI-9,N,,,Dinesh Chauhan,Aadhaar,GENUINE,Prepaid,Oppo,Reno 8,Mozilla/5.0 (Linux; Android 13; CPH2387),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
19,REQ-CMM/NW/2024/0312-I0019,Jio,Delhi,IPDR,7011238456,404202345678901,357890123456789,8991202345678901234,2024-03-15,09:35:00,2024-03-15 09:35:00,2024-03-15,09:55:00,2024-03-15 09:55:00,1200,00:20:00,189000,980000,1169000,184.57,957.03,jionet,IPv4,10.68.118.85,203.116.225.34,203.116.225.34,55523,157.240.241.53,443,TCP,HTTPS,wa.me,media-mct2.cdn.whatsapp.net,WhatsApp Media,Messaging,HTML,Y,N,N,N,20302,50201,"Uttam Nagar East Metro, Delhi",28.5921,77.0464,West Delhi,Delhi,4G-LTE,1800,-66,15,20302-50201,20302-50201,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x8abb0,0xf2122,BID-000019,QCI-9,N,,,Suresh Yadav,DL,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
20,REQ-CMM/NW/2024/0312-I0020,Jio,Delhi,IPDR,9899456012,404451111000222,353456789012345,8991451111000222001,2024-03-15,11:55:00,2024-03-15 11:55:00,2024-03-15,11:58:00,2024-03-15 11:58:00,180,00:03:00,12000,78000,90000,11.72,76.17,jionet,IPv4,10.108.144.245,203.191.46.93,203.191.46.93,27929,142.250.195.142,443,TCP,HTTPS,maps.google.com,maps.google.com,Google Maps,Maps/Navigation,HTML,N,N,N,N,20303,50301,"Dwarka Sector 23 Market, Delhi",28.524,77.035,South West Delhi,Delhi,4G-LTE,1800,-81,21,20303-50301,20303-50301,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x5874f,0x4d900,BID-000020,QCI-9,N,,,NOT REGISTERED,Aadhaar,FAKE – Aadhaar not seeded,Prepaid,Redmi,Note 12,Mozilla/5.0 (Linux; Android 13; 22111317I),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
21,REQ-CMM/NW/2024/0312-I0021,Jio,Delhi,IPDR,9899456012,404451111000222,353456789012345,8991451111000222001,2024-03-15,11:59:00,2024-03-15 11:59:00,2024-03-15,12:00:00,2024-03-15 12:00:00,60,00:01:00,4000,23000,27000,3.91,22.46,jionet,IPv4,10.217.228.180,203.148.48.212,203.148.48.212,51015,142.250.196.46,443,TCP,HTTPS,google.com,www.google.com,Google Search,Search,HTML,N,N,N,N,20303,50301,"Dwarka Sector 23 Market, Delhi",28.524,77.035,South West Delhi,Delhi,4G-LTE,1800,-80,24,20303-50301,20303-50301,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x93151,0xab0cd,BID-000021,QCI-9,N,,,NOT REGISTERED,Aadhaar,FAKE – Aadhaar not seeded,Prepaid,Redmi,Note 12,Mozilla/5.0 (Linux; Android 13; 22111317I),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
22,REQ-CMM/NW/2024/0312-I0022,Jio,Delhi,IPDR,7011238456,404202345678901,357890123456789,8991202345678901234,2024-03-15,12:14:00,2024-03-15 12:14:00,2024-03-15,12:44:00,2024-03-15 12:44:00,1800,00:30:00,234000,1200000,1434000,228.52,1171.88,jionet,IPv4,10.44.251.20,203.168.62.118,203.168.62.118,17527,149.154.167.99,443,TCP,HTTPS,t.me,core.telegram.org,Telegram,Messaging,HTML,Y,N,N,N,20302,50201,"Uttam Nagar East Metro, Delhi",28.5921,77.0464,West Delhi,Delhi,4G-LTE,1800,-89,18,20302-50201,20302-50201,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x9e58c,0x1c5c1,BID-000022,QCI-9,N,,,Suresh Yadav,DL,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
23,REQ-CMM/NW/2024/0312-I0023,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-15,12:18:00,2024-03-15 12:18:00,2024-03-15,12:38:00,2024-03-15 12:38:00,1200,00:20:00,156000,890000,1046000,152.34,869.14,airtelgprs.com,IPv4,10.19.86.168,203.193.2.146,203.193.2.146,28045,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40501,70101,"Gurugram Sector 14 Huda Market, Haryana",28.4595,77.0266,Gurugram,Haryana,4G-LTE,1800,-70,3,40501-70101,40501-70101,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0xc6a7b,0xa0dd7,BID-000023,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
24,REQ-CMM/NW/2024/0312-I0024,Airtel,Delhi,IPDR,9811045723,404201234567890,356789012345678,8991101234567890123,2024-03-15,15:00:00,2024-03-15 15:00:00,2024-03-15,16:00:00,2024-03-15 16:00:00,3600,01:00:00,445000,2800000,3245000,434.57,2734.38,airtelgprs.com,IPv4,10.150.82.106,203.133.43.35,203.133.43.35,36035,157.240.241.53,443,TCP,HTTPS,wa.me,media-mct2.cdn.whatsapp.net,WhatsApp Media,Messaging,HTML,Y,N,N,N,40502,70201,"NH-48 Kherki Daula Toll, Gurugram, Haryana",28.4089,76.9985,Gurugram,Haryana,4G-LTE,1800,-108,4,40502-70201,40502-70201,MME-AI-DL-01,PGW-AI-DL-01,SGW-AI-DL-03,PCRF-AI-01,OCS-AI-01,0xaefa8,0x24923,BID-000024,QCI-9,N,,,Rakesh Kumar,Aadhaar,FAKE,Prepaid,Samsung,Galaxy A54,Mozilla/5.0 (Linux; Android 14; SM-A546),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
25,REQ-CMM/NW/2024/0312-I0025,Jio,Delhi,IPDR,9711234560,404202222333444,354567890123456,8991202222333444001,2024-03-15,15:05:00,2024-03-15 15:05:00,2024-03-15,15:35:00,2024-03-15 15:35:00,1800,00:30:00,234000,1200000,1434000,228.52,1171.88,jionet,IPv4,10.88.131.59,203.171.194.75,203.171.194.75,38775,157.240.241.51,443,TCP,HTTPS,wa.me,api.whatsapp.com,WhatsApp,Messaging,HTML,Y,N,N,N,40502,70201,"NH-48 Kherki Daula Toll, Gurugram, Haryana",28.4089,76.9985,Gurugram,Haryana,4G-LTE,1800,-107,25,40502-70201,40502-70201,MME-JI-DL-01,PGW-JI-DL-01,SGW-JI-DL-03,PCRF-JI-01,OCS-JI-01,0x40fe8,0xeee64,BID-000025,QCI-9,N,,,Ramesh Prasad,Aadhaar,GENUINE,Prepaid,Vivo,Y75,Mozilla/5.0 (Linux; Android 13; V2254A),"SI Harpreet Singh, Rajouri Garden PS",2024-03-16,CMM/NW/2024/0312,2024-03-17,
